run_id,started_at,agent,model,trigger,outcome,error,duration_s,tool_calls,input_tokens,output_tokens,cost_usd
run_00001,2026-08-10 10:08,Support Triage,clank-mini,Schedule,succeeded,,8.1,4,2611,326,0.03566
run_00002,2026-08-10 15:14,Support Triage,clank-mini,API,succeeded,,17.8,2,2666,686,0.04164
run_00003,2026-08-10 12:06,Support Triage,clank-mini,API,succeeded,,7.3,3,1920,549,0.03646
run_00004,2026-08-10 09:53,Support Triage,clank-mini,Slack,succeeded,,24.2,5,5651,1065,0.05964
run_00005,2026-08-10 15:10,Support Triage,clank-mini,API,succeeded,,15.5,3,3006,896,0.04636
run_00006,2026-08-10 09:43,Support Triage,clank-mini,Slack,succeeded,,12.9,4,3409,540,0.04228
run_00007,2026-08-10 14:09,Support Triage,clank-mini,API,succeeded,,9.0,4,2549,764,0.04242
run_00008,2026-08-10 09:48,Support Triage,clank-mini,API,succeeded,,20.7,4,4904,1056,0.05651
run_00009,2026-08-10 11:43,Support Triage,clank-mini,Schedule,succeeded,,8.5,4,2633,768,0.04282
run_00010,2026-08-10 17:32,Support Triage,clank-mini,Schedule,succeeded,,25.8,2,3796,566,0.04424
run_00011,2026-08-10 10:38,Support Triage,clank-mini,API,succeeded,,12.0,5,3148,653,0.04304
run_00012,2026-08-10 17:49,Support Triage,clank-mini,Schedule,escalated,,8.1,1,1473,432,0.0328
run_00013,2026-08-10 10:42,Support Triage,clank-mini,API,succeeded,,9.6,2,1891,427,0.0344
run_00014,2026-08-10 14:03,Support Triage,clank-mini,Webhook,succeeded,,9.1,3,2440,387,0.03595
run_00015,2026-08-10 15:26,Support Triage,clank-mini,API,succeeded,,12.5,4,3368,812,0.04646
run_00016,2026-08-10 14:51,Support Triage,clank-pro,API,succeeded,,13.1,4,3031,500,0.17093
run_00017,2026-08-10 17:06,Support Triage,clank-mini,Webhook,succeeded,,19.3,1,2798,443,0.03828
run_00018,2026-08-10 11:24,Support Triage,clank-mini,Slack,succeeded,,3.5,3,1755,386,0.0332
run_00019,2026-08-10 11:03,Support Triage,clank-mini,Schedule,succeeded,,6.2,4,2370,648,0.03985
run_00020,2026-08-10 11:04,Support Triage,clank-mini,API,succeeded,,20.9,3,3948,914,0.05042
run_00021,2026-08-10 16:45,Support Triage,clank-mini,API,succeeded,,17.2,3,3869,1116,0.05333
run_00022,2026-08-10 19:36,Support Triage,clank-pro,API,succeeded,,12.4,4,3250,968,0.23366
run_00023,2026-08-10 09:59,Invoice Parser,clank-mini,Webhook,succeeded,,22.2,1,3341,832,0.04668
run_00024,2026-08-10 13:58,Invoice Parser,clank-mini,API,succeeded,,37.4,2,4850,1229,0.05906
run_00025,2026-08-10 14:56,Invoice Parser,clank-mini,API,succeeded,,16.8,2,2812,359,0.03699
run_00026,2026-08-10 12:15,Invoice Parser,clank-mini,API,succeeded,,16.5,2,3205,487,0.04061
run_00027,2026-08-10 10:59,Invoice Parser,clank-mini,Schedule,succeeded,,16.7,1,2718,513,0.03908
run_00028,2026-08-10 15:14,Invoice Parser,clank-mini,Webhook,succeeded,,11.2,2,1862,483,0.03518
run_00029,2026-08-10 16:43,Invoice Parser,clank-mini,Schedule,succeeded,,17.1,1,2319,531,0.03777
