month,department,bookings,expenses
2025-04,Sales,39200,13900
2025-04,Product,15200,18300
2025-04,Services,11100,8200
2025-04,Partners,6300,3400
2025-05,Sales,39300,14400
2025-05,Product,16100,18500
2025-05,Services,11500,8100
2025-05,Partners,6500,3300
2025-06,Sales,44100,14000
2025-06,Product,20200,18600
2025-06,Services,13200,7800
2025-06,Partners,7400,3500
2025-07,Sales,42400,14200
2025-07,Product,18000,19800
2025-07,Services,11300,7900
2025-07,Partners,7400,3600
2025-08,Sales,44400,14200
2025-08,Product,18200,19100
2025-08,Services,11600,8400
2025-08,Partners,8000,3900
2025-09,Sales,51100,14500
2025-09,Product,21700,19900
2025-09,Services,14000,8300
2025-09,Partners,8600,4100
2025-10,Sales,43400,15300
2025-10,Product,20900,20400
2025-10,Services,11900,8600
2025-10,Partners,8800,4200
2025-11,Sales,48500,15000
2025-11,Product,22200,20800
2025-11,Services,12900,8700
2025-11,Partners,9300,4100
2025-12,Sales,51700,16300
2025-12,Product,26400,22600
2025-12,Services,14000,8800
2025-12,Partners,10300,4500
2026-01,Sales,50400,15800
2026-01,Product,23500,21500
2026-01,Services,13000,8900
2026-01,Partners,10300,4400
2026-02,Sales,50100,16600
2026-02,Product,25300,22500
2026-02,Services,13200,8700
2026-02,Partners,10600,4700
2026-03,Sales,58500,17200
2026-03,Product,29900,22800
2026-03,Services,15600,8900
2026-03,Partners,12200,4800
