invoice_id,month,segment,amount,discount_pct,days_to_pay
INV-5001,2025-09,SMB,1341.25,4.7,19
INV-5002,2025-06,SMB,2340.77,2.6,12
INV-5003,2026-01,SMB,2001.31,8.6,25
INV-5004,2025-11,SMB,2022.65,3.5,16
INV-5005,2025-11,SMB,4792.76,1.3,22
INV-5006,2025-10,SMB,1594.73,8.4,23
INV-5007,2025-11,SMB,1206.94,5.4,15
INV-5008,2026-01,SMB,888.78,3.1,19
INV-5009,2025-11,SMB,2642.22,2.0,16
INV-5010,2026-03,SMB,4573.86,2.2,21
INV-5011,2026-02,SMB,4467.58,8.5,19
INV-5012,2025-08,SMB,883.72,3.4,13
INV-5013,2025-06,SMB,1392.95,2.8,21
INV-5014,2025-09,SMB,2804.6,0.8,17
INV-5015,2025-07,SMB,1701.3,6.5,13
INV-5016,2025-07,SMB,1830.76,2.6,71
INV-5017,2026-03,SMB,1320.48,3.5,27
INV-5018,2025-11,SMB,1586.73,7.1,27
INV-5019,2026-02,SMB,4307.37,5.1,10
INV-5020,2025-12,SMB,1815.74,3.8,17
INV-5021,2025-07,SMB,1618.79,9.1,15
INV-5022,2025-04,SMB,726.72,5.0,22
INV-5023,2025-08,SMB,1581.03,2.7,14
INV-5024,2026-01,SMB,1067.34,6.9,14
INV-5025,2025-10,SMB,4312.82,2.3,12
INV-5026,2025-07,SMB,1758.45,5.9,22
INV-5027,2025-07,SMB,765.13,4.6,74
INV-5028,2026-02,SMB,1178.56,3.5,22
INV-5029,2026-03,SMB,1553.2,6.8,20
INV-5030,2025-09,SMB,2738.66,5.9,14
INV-5031,2026-03,SMB,2090.5,4.3,16
INV-5032,2025-11,SMB,3572.08,2.4,25
INV-5033,2025-04,SMB,1764.85,7.2,22
INV-5034,2025-09,SMB,760.62,3.7,17
INV-5035,2025-07,SMB,1801.53,2.8,17
INV-5036,2025-12,SMB,605.23,6.6,27
INV-5037,2025-10,SMB,4700.3,4.5,27
INV-5038,2025-07,SMB,2028.64,5.3,15
INV-5039,2025-12,SMB,2366.65,4.7,27
INV-5040,2025-08,SMB,1854.43,4.8,11
INV-5041,2025-05,SMB,1063.23,6.2,18
INV-5042,2025-08,SMB,4031.89,4.3,12
INV-5043,2025-07,SMB,1200.77,1.7,23
INV-5044,2025-06,SMB,1278.26,3.8,22
INV-5045,2026-02,SMB,1202.17,3.6,16
INV-5046,2026-01,SMB,965.73,3.4,21
INV-5047,2026-01,SMB,3325.71,6.3,11
INV-5048,2025-07,SMB,2564.77,4.9,21
INV-5049,2025-11,SMB,1839.33,4.4,16
INV-5050,2025-11,SMB,2539.73,8.4,19
INV-5051,2026-02,SMB,2095.48,9.5,18
INV-5052,2026-01,SMB,1554.41,6.4,16
INV-5053,2025-08,SMB,1956.98,5.4,19
INV-5054,2025-09,SMB,3074.43,4.8,26
INV-5055,2025-09,SMB,809.27,3.4,13
INV-5056,2025-05,SMB,2436.46,2.4,16
INV-5057,2025-09,SMB,1247.95,5.1,16
INV-5058,2026-03,SMB,1140.35,5.3,26
INV-5059,2025-05,SMB,1554.92,4.4,12
INV-5060,2026-01,SMB,1248.35,4.8,49
INV-5061,2026-03,SMB,645.73,4.4,15
INV-5062,2025-10,SMB,3377.05,7.0,16
INV-5063,2026-03,SMB,1189.81,5.0,11
INV-5064,2025-05,SMB,980.03,6.0,16
INV-5065,2026-01,SMB,3594.78,4.5,18
INV-5066,2026-03,SMB,4351.79,3.6,19
INV-5067,2026-02,SMB,1107.69,0.0,16
INV-5068,2025-06,SMB,3724.42,1.3,21
INV-5069,2026-01,SMB,3041.38,0.4,13
INV-5070,2025-04,SMB,1954.36,0.0,20
INV-5071,2025-11,SMB,2160.32,0.8,11
INV-5072,2026-03,SMB,989.46,4.2,21
INV-5073,2025-09,SMB,1973.83,4.3,21
INV-5074,2025-09,SMB,928.86,3.1,20
INV-5075,2025-12,SMB,2020.37,9.7,27
INV-5076,2026-02,SMB,2432.55,3.8,14
INV-5077,2025-07,SMB,771.12,5.4,18
INV-5078,2026-01,SMB,1536.78,1.8,12
INV-5079,2026-01,SMB,1543.85,0.0,16
INV-5080,2026-02,SMB,3956.07,5.0,14
INV-5081,2026-02,SMB,3299.62,2.7,17
INV-5082,2026-03,SMB,1798.43,2.3,20
INV-5083,2025-05,SMB,829.68,8.9,18
INV-5084,2025-11,SMB,1458.35,9.3,11
INV-5085,2025-10,SMB,3105.59,3.8,8
INV-5086,2025-04,SMB,1287.65,6.2,19
INV-5087,2026-02,SMB,2433.75,1.7,17
INV-5088,2025-12,SMB,2831.41,3.0,10
INV-5089,2025-09,SMB,1456.64,2.2,21
INV-5090,2025-09,SMB,3335.6,7.8,20
INV-5091,2025-12,SMB,677.21,4.9,15
INV-5092,2026-02,SMB,2596.55,4.4,24
INV-5093,2025-05,SMB,1043.36,2.5,17
INV-5094,2025-06,SMB,1200.12,2.0,14
INV-5095,2026-02,SMB,1403.88,6.5,8
INV-5096,2025-12,SMB,2286.48,1.6,19
INV-5097,2025-12,SMB,3648.82,3.0,13
INV-5098,2025-04,SMB,1131.6,0.0,15
INV-5099,2025-05,SMB,2002.18,3.0,14
INV-5100,2025-10,SMB,1988.21,0.0,25
INV-5101,2025-10,SMB,1250.04,4.2,18
INV-5102,2025-10,SMB,1507.04,4.7,10
INV-5103,2026-02,SMB,3910.24,1.8,22
INV-5104,2025-12,SMB,1701.36,1.5,18
INV-5105,2025-06,SMB,1227.84,7.5,19
INV-5106,2025-08,SMB,2021.1,4.9,21
INV-5107,2025-08,SMB,2523.68,0.0,10
INV-5108,2025-05,SMB,1641.03,4.5,9
INV-5109,2025-09,SMB,2069.91,8.6,19
INV-5110,2025-09,SMB,1048.72,9.2,18
INV-5111,2025-08,SMB,1257.32,0.7,16
INV-5112,2025-09,SMB,6152.75,1.3,29
INV-5113,2025-05,SMB,1357.57,7.0,21
INV-5114,2025-06,SMB,1541.85,5.4,15
INV-5115,2026-02,SMB,1075.09,6.8,13
INV-5116,2025-12,SMB,1583.64,1.4,19
INV-5117,2026-01,SMB,1682.6,3.7,16
INV-5118,2026-01,SMB,1430.63,2.6,10
INV-5119,2025-04,SMB,1619.82,8.4,27
INV-5120,2026-03,SMB,2235.59,4.9,22
INV-5121,2025-10,SMB,1827.05,5.1,22
INV-5122,2025-09,SMB,1904.44,2.0,25
INV-5123,2025-10,SMB,1110.73,4.1,16
INV-5124,2025-07,SMB,1708.5,1.2,11
INV-5125,2025-05,SMB,2355.2,0.3,16
INV-5126,2026-03,SMB,1845.16,6.9,16
INV-5127,2025-11,SMB,1231.16,8.2,23
INV-5128,2025-09,SMB,1448.97,6.4,25
INV-5129,2025-06,SMB,686.97,7.1,10
INV-5130,2025-04,SMB,4435.69,4.1,22
INV-5131,2026-01,SMB,1044.5,0.0,68
INV-5132,2025-09,SMB,1426.32,4.6,16
INV-5133,2025-04,SMB,1334.27,4.2,16
INV-5134,2025-09,SMB,1218.84,3.9,29
INV-5135,2025-11,SMB,1741.34,0.0,24
INV-5136,2025-04,SMB,1675.51,3.3,27
INV-5137,2025-08,SMB,2510.33,5.3,10
INV-5138,2025-06,SMB,1394.34,4.8,30
INV-5139,2025-11,SMB,1337.92,3.0,23
INV-5140,2025-04,SMB,2417.97,1.1,20
INV-5141,2025-12,SMB,786.0,2.1,12
INV-5142,2025-05,SMB,891.81,3.3,20
INV-5143,2025-05,SMB,1263.52,2.8,6
INV-5144,2025-09,SMB,1008.94,1.8,26
INV-5145,2025-07,SMB,838.43,8.1,11
INV-5146,2025-12,SMB,1124.63,8.7,15
INV-5147,2026-02,SMB,1755.72,3.1,24
INV-5148,2026-01,SMB,5038.54,0.0,21
INV-5149,2026-03,SMB,1498.0,6.1,10
INV-5150,2025-08,SMB,3092.39,2.5,9
INV-5151,2026-02,Mid-market,13839.43,14.7,25
INV-5152,2026-03,Mid-market,13448.8,3.1,27
INV-5153,2025-07,Mid-market,9590.72,12.4,17
INV-5154,2025-08,Mid-market,5122.43,8.8,46
