account_id,plan,sessions,avg_session_minutes
A1001,Free,8,2.4
A1002,Free,11,6.0
A1003,Free,5,3.6
A1004,Free,8,6.4
A1005,Free,4,5.4
A1006,Free,4,5.2
A1007,Free,21,5.7
A1008,Free,7,6.7
A1009,Free,13,7.0
A1010,Free,5,6.8
A1011,Free,6,5.2
A1012,Free,7,5.0
A1013,Free,5,5.7
A1014,Free,29,3.2
A1015,Free,7,5.4
A1016,Free,13,9.5
A1017,Free,16,5.8
A1018,Free,25,6.8
A1019,Free,28,4.4
A1020,Free,2,7.8
A1021,Free,3,3.9
A1022,Free,13,9.0
A1023,Free,12,6.4
A1024,Free,10,7.8
A1025,Free,4,5.4
A1026,Free,14,7.3
A1027,Free,9,7.3
A1028,Free,5,3.6
A1029,Free,9,6.3
A1030,Free,17,3.5
A1031,Free,6,5.8
A1032,Free,11,3.4
A1033,Free,10,8.6
A1034,Free,3,7.6
A1035,Free,7,6.8
A1036,Free,7,2.6
A1037,Free,9,6.4
A1038,Free,9,5.9
A1039,Free,16,6.4
A1040,Free,12,3.1
A1041,Free,7,5.6
A1042,Free,17,3.3
A1043,Free,3,8.9
A1044,Free,11,7.7
A1045,Free,11,5.8
A1046,Free,7,4.9
A1047,Free,13,5.4
A1048,Free,7,7.2
A1049,Free,8,6.0
A1050,Free,12,6.8
A1051,Free,6,2.3
A1052,Free,7,3.3
A1053,Free,9,5.3
A1054,Free,10,7.6
A1055,Free,4,6.6
A1056,Free,6,9.7
A1057,Free,7,6.2
A1058,Free,25,5.6
A1059,Free,12,4.8
A1060,Free,15,5.9
A1061,Free,6,6.7
A1062,Free,16,6.1
A1063,Free,6,3.0
A1064,Free,6,6.2
A1065,Free,16,5.3
A1066,Free,9,4.3
A1067,Free,7,3.3
A1068,Free,15,10.2
A1069,Free,8,9.8
A1070,Free,8,6.6
A1071,Free,5,6.5
A1072,Free,7,6.0
A1073,Free,8,4.8
A1074,Free,7,7.1
A1075,Free,44,4.7
A1076,Free,17,5.6
A1077,Free,18,4.7
A1078,Free,5,5.9
A1079,Free,8,4.7
A1080,Free,21,6.3
A1081,Free,7,5.9
A1082,Free,12,5.7
A1083,Free,4,8.2
A1084,Free,28,9.2
A1085,Free,8,3.1
A1086,Free,18,7.6
A1087,Free,8,5.3
A1088,Free,8,4.7
A1089,Free,13,6.6
A1090,Free,5,7.7
A1091,Free,20,8.0
A1092,Free,15,6.2
A1093,Free,14,7.8
A1094,Free,20,5.0
A1095,Free,4,8.0
A1096,Free,10,6.3
A1097,Free,24,5.1
A1098,Free,7,7.7
A1099,Free,23,5.9
A1100,Free,20,10.4
A1101,Free,8,8.5
A1102,Free,13,6.5
A1103,Free,5,7.9
A1104,Free,7,6.4
A1105,Free,5,8.1
A1106,Free,17,8.7
A1107,Free,19,2.9
A1108,Free,13,4.5
A1109,Free,7,4.8
A1110,Free,4,6.7
A1111,Free,5,4.6
A1112,Free,14,4.5
A1113,Free,3,5.4
A1114,Free,6,5.7
A1115,Free,10,6.7
A1116,Free,13,8.4
A1117,Free,12,4.9
A1118,Free,11,6.8
A1119,Free,9,6.1
A1120,Free,13,7.6
A1121,Pro,28,13.0
A1122,Pro,83,12.7
A1123,Pro,10,15.7
A1124,Pro,16,14.1
A1125,Pro,31,18.7
A1126,Pro,34,17.4
A1127,Pro,11,10.5
A1128,Pro,17,17.9
A1129,Pro,18,18.6
A1130,Pro,17,12.7
A1131,Pro,22,10.9
A1132,Pro,31,13.6
A1133,Pro,21,15.4
A1134,Pro,23,9.9
A1135,Pro,19,14.3
A1136,Pro,29,11.5
A1137,Pro,30,12.1
A1138,Pro,37,7.0
A1139,Pro,7,17.3
A1140,Pro,22,11.8
A1141,Pro,26,11.2
A1142,Pro,15,18.6
A1143,Pro,30,23.4
A1144,Pro,58,17.4
A1145,Pro,30,11.7
A1146,Pro,42,14.8
A1147,Pro,17,14.8
A1148,Pro,16,8.3
A1149,Pro,17,13.8
A1150,Pro,22,5.0
A1151,Pro,16,10.9
A1152,Pro,36,19.3
A1153,Pro,46,8.4
A1154,Pro,91,11.1
A1155,Pro,11,12.2
A1156,Pro,7,14.4
A1157,Pro,10,16.1
A1158,Pro,10,16.4
A1159,Pro,47,15.6
A1160,Pro,9,13.3
A1161,Pro,41,17.9
A1162,Pro,25,11.3
A1163,Pro,47,13.7
A1164,Pro,17,14.1
A1165,Pro,24,12.9
A1166,Pro,74,6.0
A1167,Pro,43,12.1
A1168,Pro,41,6.1
A1169,Pro,15,19.4
A1170,Pro,13,15.6
A1171,Pro,14,9.8
A1172,Pro,16,13.7
A1173,Pro,14,7.5
A1174,Pro,36,13.5
A1175,Pro,28,17.9
A1176,Pro,32,7.6
A1177,Pro,23,12.3
A1178,Pro,23,14.0
A1179,Pro,29,10.3
A1180,Pro,5,7.2
A1181,Pro,43,14.7
A1182,Pro,16,13.5
A1183,Pro,13,7.7
A1184,Pro,24,12.3
A1185,Pro,64,18.1
A1186,Pro,26,13.7
A1187,Pro,30,10.6
A1188,Pro,26,11.6
A1189,Pro,25,19.9
A1190,Pro,18,16.6
A1191,Pro,14,17.1
A1192,Pro,31,13.9
A1193,Pro,24,6.0
A1194,Pro,24,11.4
A1195,Pro,14,11.6
A1196,Pro,30,13.5
A1197,Pro,19,17.5
A1198,Pro,25,13.2
A1199,Pro,33,7.3
A1200,Pro,13,10.5
A1201,Team,40,19.9
A1202,Team,27,36.8
A1203,Team,64,20.5
A1204,Team,77,21.7
A1205,Team,86,20.9
A1206,Team,56,26.7
A1207,Team,47,20.3
A1208,Team,50,29.6
A1209,Team,50,25.5
A1210,Team,80,18.6
A1211,Team,33,15.1
A1212,Team,107,27.6
A1213,Team,140,15.5
A1214,Team,83,32.2
A1215,Team,38,26.4
A1216,Team,92,24.8
A1217,Team,75,13.8
A1218,Team,167,18.2
A1219,Team,56,20.7
A1220,Team,119,24.1
A1221,Team,32,22.8
A1222,Team,43,18.1
A1223,Team,122,19.7
A1224,Team,26,21.1
A1225,Team,134,11.3
A1226,Team,80,16.8
