weekday,weekday_number,hour,sessions
Mon,1,0,41
Mon,1,1,40
Mon,1,2,40
Mon,1,3,37
Mon,1,4,42
Mon,1,5,52
Mon,1,6,84
Mon,1,7,149
Mon,1,8,287
Mon,1,9,422
Mon,1,10,622
Mon,1,11,636
Mon,1,12,561
Mon,1,13,543
Mon,1,14,544
Mon,1,15,521
Mon,1,16,425
Mon,1,17,362
Mon,1,18,216
Mon,1,19,125
Mon,1,20,84
Mon,1,21,54
Mon,1,22,40
Mon,1,23,37
Tue,2,0,39
Tue,2,1,42
Tue,2,2,41
Tue,2,3,42
Tue,2,4,43
Tue,2,5,53
Tue,2,6,75
Tue,2,7,146
Tue,2,8,276
Tue,2,9,417
Tue,2,10,625
Tue,2,11,694
Tue,2,12,615
Tue,2,13,556
Tue,2,14,577
Tue,2,15,490
Tue,2,16,437
Tue,2,17,326
Tue,2,18,216
Tue,2,19,121
Tue,2,20,80
Tue,2,21,54
Tue,2,22,45
Tue,2,23,37
Wed,3,0,41
Wed,3,1,42
Wed,3,2,40
Wed,3,3,42
Wed,3,4,44
Wed,3,5,56
Wed,3,6,78
Wed,3,7,165
Wed,3,8,304
Wed,3,9,415
Wed,3,10,597
Wed,3,11,653
Wed,3,12,566
Wed,3,13,581
Wed,3,14,559
Wed,3,15,506
Wed,3,16,412
Wed,3,17,339
Wed,3,18,239
Wed,3,19,126
Wed,3,20,76
Wed,3,21,57
Wed,3,22,47
Wed,3,23,38
Thu,4,0,41
Thu,4,1,44
Thu,4,2,43
Thu,4,3,37
Thu,4,4,47
Thu,4,5,49
Thu,4,6,75
Thu,4,7,154
Thu,4,8,306
Thu,4,9,410
Thu,4,10,597
Thu,4,11,642
Thu,4,12,609
Thu,4,13,529
Thu,4,14,516
Thu,4,15,519
Thu,4,16,477
Thu,4,17,314
Thu,4,18,215
Thu,4,19,133
Thu,4,20,82
Thu,4,21,49
Thu,4,22,40
Thu,4,23,42
Fri,5,0,43
Fri,5,1,41
Fri,5,2,42
Fri,5,3,38
Fri,5,4,44
Fri,5,5,57
Fri,5,6,79
Fri,5,7,161
Fri,5,8,260
Fri,5,9,462
Fri,5,10,638
Fri,5,11,593
Fri,5,12,646
Fri,5,13,607
Fri,5,14,546
Fri,5,15,353
Fri,5,16,304
Fri,5,17,215
Fri,5,18,168
Fri,5,19,87
Fri,5,20,58
Fri,5,21,37
Fri,5,22,31
Fri,5,23,26
Sat,6,0,41
Sat,6,1,42
Sat,6,2,40
Sat,6,3,37
Sat,6,4,39
Sat,6,5,46
Sat,6,6,46
Sat,6,7,59
Sat,6,8,87
Sat,6,9,130
Sat,6,10,164
Sat,6,11,162
Sat,6,12,151
Sat,6,13,146
Sat,6,14,168
Sat,6,15,159
Sat,6,16,120
Sat,6,17,109
Sat,6,18,78
Sat,6,19,60
Sat,6,20,52
Sat,6,21,46
Sat,6,22,39
Sat,6,23,43
Sun,7,0,41
Sun,7,1,38
Sun,7,2,40
Sun,7,3,37
Sun,7,4,42
Sun,7,5,42
Sun,7,6,53
Sun,7,7,59
Sun,7,8,90
Sun,7,9,137
Sun,7,10,148
Sun,7,11,181
Sun,7,12,182
Sun,7,13,169
Sun,7,14,161
Sun,7,15,133
Sun,7,16,122
Sun,7,17,97
Sun,7,18,75
Sun,7,19,65
Sun,7,20,52
Sun,7,21,47
Sun,7,22,41
Sun,7,23,44
