week,plan,active_users,activated_users,sessions
2026-W01,Free,903,123,2633
2026-W01,Pro,415,179,1873
2026-W01,Team,159,99,1045
2026-W02,Free,928,124,2551
2026-W02,Pro,454,190,2115
2026-W02,Team,170,102,1166
2026-W03,Free,945,131,2617
2026-W03,Pro,471,205,2088
2026-W03,Team,183,103,1265
2026-W04,Free,981,135,2841
2026-W04,Pro,487,218,2309
2026-W04,Team,194,115,1322
2026-W05,Free,1040,152,2772
2026-W05,Pro,524,221,2306
2026-W05,Team,202,114,1322
2026-W06,Free,1062,147,3029
2026-W06,Pro,535,246,2508
2026-W06,Team,217,133,1533
2026-W07,Free,1137,165,3361
2026-W07,Pro,553,229,2688
2026-W07,Team,227,141,1643
2026-W08,Free,1120,148,3293
2026-W08,Pro,607,276,2867
2026-W08,Team,253,142,1643
2026-W09,Free,1194,177,3523
2026-W09,Pro,621,246,2745
2026-W09,Team,264,147,1718
2026-W10,Free,1204,169,3220
2026-W10,Pro,636,259,2762
2026-W10,Team,287,176,1909
2026-W11,Free,1280,190,3474
2026-W11,Pro,677,309,3212
2026-W11,Team,303,184,2109
2026-W12,Free,1299,187,3761
2026-W12,Pro,699,292,3136
2026-W12,Team,327,183,2303
